2016/11/11
Texas Southern 82, Texas-Arlington 89
Louisiana Coll. 54, UTEP 88
Jacksonville 92, Denver 84
UC Davis 63, Santa Clara 58
San Diego Christian 54, CSU Bakersfield 96
Corban 67, Idaho 90
Northern Ariz. 65, Tennessee State 69
N.C. Central 69, Marshall 81
Coe 37, UNI 74
Bryant 64, Notre Dame 89
S.C. Upstate 60, Georgetown 105
West Coast Baptist 70, San Jose State 109

2016/11/13
Canisius 69, Kentucky 93
Chattanooga 57, North Carolina 97
CSUN 87, UCLA 102
Texas Southern 74, Delaware State 61
Hiwassee 47, Western Caro. 87
Cent. Conn. St. 58, Seton Hall 82
Fla. Christian 84, Citadel 146
Eastern Mich. 64, SMU 91
Bucknell 74, Wake Forest 94
Cornell 78, Siena 89
Rice 94, James Madison 70
St. Francis (B'klyn) 61, NC State 86
Washington (Md.) 47, Navy 74
Maine 80, Longwood 58
Jacksonville St. 65, Missouri State 91
Kenyon 60, IPFW 117
Niagara 79, Brown 88
Northern Ariz. 76, UC Davis 89
Hannibal-La Grange 54, Southeast Mo. St. 86
Indiana-Northwest 51, Loyola Chicago 100
UTRGV 80, Tennessee-Martin 88
Savannah State 84, Iowa 116
Drexel 66, Rutgers 87
UMBC 77, Md.-East. Shore 73
New Mexico St. 61, Colorado State 64
Lipscomb 75, Morehead State 89
Bowling Green 72, South Dakota 78
UTSA 64, Oregon State 72
Delaware 63, Bradley 49
N'western St. 61, Oklahoma 97
Tennessee State 69, Santa Clara 61
Holy Cross 49, South Carolina 81
Shenandoah 58, Norfolk State 78
Minnesota-Morris 62, North Dakota St. 92
Duquesne 74, Penn State 82
Northern Kentucky 64, Illinois 79
Omaha 72, USC 82
Yale 98, Washington 90
Robert Morris 72, DePaul 78
Portland State 100, CSU Fullerton 106
SIUE 77, Florida Atlantic 68
Alabama A&M 44, Missouri 99
Long Beach St. 55, Wichita State 92
Mercer 54, Florida 76
Sacramento St. 61, Nebraska 83
Cal Poly 74, Arizona State 96
Texas State 68, Hawaii 74
IUPUI 65, Michigan 77
Oak Hills Christian 48, Western Illinois 95

2016/11/14
Villanova 79, Purdue 76
Buffalo 53, Xavier 86
William & Mary 58, Louisville 91
San Diego State 48, Gonzaga 69
Miss. Valley St. 66, West Virginia 107
Mt. St. Mary's 55, Iowa State 73
Marist 65, Rhode Island 107
La.-Monroe 59, Texas 80
Albany 51, Cincinnati 74
Green Bay 58, Pacific 76
Binghamton 61, St. John's 77
Sam Houston St. 75, Ohio 96
UNCW 78, Eastern Kentucky 69
Mars Hill 66, S.C. Upstate 91
NYIT 75, Fordham 101
Brewton Parker 74, Kennesaw State 80
Nicholls State 56, UCF 80
Charleston 71, Coastal Caro. 64
Detroit 78, East Tenn. St. 107
N.C. A&T 51, East Carolina 61
Vermont 58, Providence 80
UNC Asheville 46, Georgia 60
St. Andrews 76, S. Carolina St. 93
New Hampshire 57, Temple 52
Old Dominion 64, Richmond 61
Edward Waters 73, North Florida 109
Northeastern 64, Connecticut 61
Columbia 65, Saint Joseph's 85
Coastal Georgia 43, Ga. Southern 92
FIU 67, Stetson 82
Wagner 76, Mass.-Lowell 87
Massachusetts 88, Mississippi 90
Western Mich. 60, Oakland 77
Gardner-Webb 80, Pittsburgh 99
Lafayette 61, St. Peter's 57
Coppin State 58, Valparaiso 78
Southern Univ. 62, Georgia Tech 77
Millersville 66, Loyola (Md.) 79
Presbyterian 42, UNC-Greensboro 61
Charlotte 100, Elon 95
Roosevelt 55, Northern Ill. 99
Texas-Arlington 67, Minnesota 84
Furman 84, UAB 74
Southern Utah 76, Saint Louis 88
Central Baptist 57, Arkansas State 100
American 53, Texas A&M 76
Eureka 59, Loyola Chicago 97
Oakland City 67, Austin Peay 107
Central Ark. 90, Oklahoma State 102
Eastern Illinois 67, Troy 70
UTRGV 75, Memphis 94
Ecclesia 47, Ark.-Pine Bluff 83
Southern Ill. 65, Arkansas 90
Southeastern La. 76, Tulane 93
NJIT 84, Utah State 93
Blue Mountain 35, South Alabama 88
Howard 49, Marquette 81
Cent. Michigan 86, Tennessee Tech 74
Alabama State 62, TCU 98
La.-Lafayette 83, Montana State 84
Wyoming 73, Montana 72
Georgia State 65, Auburn 83
Seattle 55, Colorado 67
Jacksonville 68, Air Force 86
N.C. Central 63, Ohio State 69
Houston Baptist 79, New Mexico 95
Eastern Wash. 72, Northwestern 86
Alcorn State 59, Evansville 82
Princeton 73, BYU 82
Prairie View A&M 84, Fresno State 78
Loyola Marym't 64, Nevada 79
South Dakota St. 58, UC Irvine 73
Samford 83, San Diego 65
SIUE 58, Texas State 86
Rogers State 76, Oral Roberts 87
University of the Ozarks 61, Little Rock 100

2016/11/15
Kansas 77, Duke 75
Kentucky 69, Michigan State 48
Oregon 49, Baylor 66
Long Beach St. 67, North Carolina 93
St. Francis (B'klyn) 32, Virginia 72
Wisconsin 67, Creighton 79
CSU Bakersfield 66, Arizona 78
Holy Cross 46, Syracuse 90
Dayton 77, Alabama 72
Florida Atlantic 63, Hawaii 64
Niagara 78, Hartford 82
Monmouth 69, South Carolina 70
Maryland 76, Georgetown 75
Trinity (Fla.) 62, Florida A&M 94
Bridgewater 45, Campbell 101
Siena 75, Geo. Washington 77
Delaware 68, La Salle 74
FDU-Florham 48, Fairleigh D'son 96
Hofstra 86, Sacred Heart 90
Grand Canyon 76, Penn State 85
Appalachian St. 94, Tennessee 103
High Point 73, Virginia Tech 99
Indiana State 80, Ball State 74
Fairfield 79, Dartmouth 62
Miami (Ohio) 87, Wright State 89
Truett-McConnell 90, Citadel 119
Allen 77, Wofford 117
Towson 78, Morgan State 72
Canisius 64, Cleveland State 67
Iona 78, Florida State 99
Southern Virginia 47, VMI 78
Mt. St. Mary 53, Army West Point 91
Salve Regina 61, Bryant 88
Md.-East. Shore 57, Boston College 73
Lebanon Valley 65, George Mason 90
Murray State 81, Middle Tenn. 87
North Texas 43, Texas Tech 70
Drake 62, UMKC 68
Columbia Int'l 53, Charleston So. 90
Piedmont 70, Lipscomb 99
Omaha 68, Kansas State 81
Mayville State 66, North Dakota 94
Eliz. City St. 55, Norfolk State 91
McKendree 65, Illinois 112
Cumberland 64, Tennessee-Martin 95
Mary 38, Nebraska 70
Louisiana Coll. 85, McNeese State 75
VCU 64, Liberty 59
Conc. Portland 53, Utah 96
St. Edward's 90, Incarnate Word 93
Youngstown St. 98, Toledo 103
Southern Miss 61, LSU 78
Winthrop 94, Manhattan 81
Belmont 66, Vanderbilt 80
John. & Wales (Colo.) 62, Air Force 105
Central Wash. 76, Washington St. 81
Portland 79, San Jose State 66
CSUN 69, Stanford 96
Weber State 68, Pepperdine 69
Rochester (Mich.) 63, Eastern Mich. 78
Longwood 60, Steph. F. Austin 66

2016/11/16
Mass.-Lowell 78, Indiana 100
Prairie View A&M 72, St. Mary's (Cal.) 110
Brown 72, Rhode Island 79
UC Irvine 65, California 75
Coppin State 59, Coastal Caro. 89
Rider 84, Hartford 68
Miss. Valley St. 63, Kent State 93
Vermont 76, Marist 72
Hiwassee 54, Chattanooga 102
Miami (Fla.) 94, North Florida 56
Texas-Arlington 72, FGCU 85
IPFW 57, Illinois State 75
Colgate 67, Cornell 63
St. Francis (Pa.) 75, Duquesne 89
Seattle 49, Notre Dame 92
Delaware State 68, UMBC 90
Cent. Conn. St. 70, Binghamton 72
Loyola (Md.) 61, LIU Brooklyn 65
Morehead State 77, Marshall 85
Central Penn 69, Radford 91
Northwestern 68, Butler 70
Robert Morris 62, Bucknell 75
Alabama State 56, Louisiana Tech 87
N.C. Central 67, Western Caro. 59
Kennesaw State 72, Bethune-Cookman 75
Mo. Southern St. 64, Southern Ill. 85
Texas Southern 71, Rice 68
Texas A&M-C.C. 94, UTRGV 72
Mt. St. Mary's 56, Minnesota 80
Presentation 60, South Dakota 99
Southeast Mo. St. 74, Western Illinois 71
New Orleans 72, Oklahoma State 117
UTSA 78, Illinois-Chicago 86
Wayne St. (Neb.) 72, South Dakota St. 80
Milwaukee 54, Memphis 68
SUNY Oneonta 56, Albany 97
Tulsa 53, Wichita State 80
Jackson State 71, Southeastern La. 84
Fort Lewis 75, Colorado State 84
Jacksonville St. 67, Western Ky. 74
Samford 48, New Mexico St. 58
Idaho State 73, Utah Valley 82
Idaho 49, Northern Ill. 63
Colo. Christian 73, Northern Colo. 94
Lamar 63, Oregon State 60
Rocky Mountain 76, Montana State 93
