WEEK 1
Iowa State 20, TCU 41
Kansas 7, Memphis 43
Akron 65, Marshall 38
Vanderbilt 7, Georgia Tech 38
Virginia 10, Connecticut 13
Idaho 6, Washington St. 56
N.C. A&T 21, Tulsa 58
Coastal Caro. 26, Jacksonville St. 27
Florida Atlantic 7, Kansas State 63
UNLV 21, Cent. Michigan 44
Fresno State 17, Toledo 52
Eastern Kentucky 14, Ball State 41
James Madison 28, North Carolina 56
San Diego State 42, Northern Ill. 28
Monmouth 7, Kent State 27
South Florida 45, Syracuse 20
Boston College 0, Virginia Tech 49
Western Ky. 31, Miami (Ohio) 24
FIU 13, Massachusetts 21
Pittsburgh 38, Oklahoma State 45
East Carolina 15, South Carolina 20
Western Mich. 34, Illinois 10
Northern Colo. 21, Colorado State 47
UC Davis 22, Wyoming 45
New Mexico St. 42, Kentucky 62
Idaho State 7, Oregon State 37
Old Dominion 22, NC State 49
La.-Monroe 21, Ga. Southern 23
Eastern Mich. 37, Charlotte 19
Delaware 21, Wake Forest 38
Navy 21, Tulane 14
Army West Point 66, UTEP 14
Maryland 30, UCF 24
South Alabama 23, La.-Lafayette 28
Louisiana Tech 45, Texas Tech 59
Liberty 14, SMU 29
Troy 37, Southern Miss 31
Duke 13, Northwestern 24
Buffalo 14, Nevada 38
UCLA 17, BYU 14
Utah 34, San Jose State 17
Hawaii 28, Arizona 47

WEEK 4
Thursday, September 22, 2016
Clemson 26, Georgia Tech 7
Friday, September 23, 2016
USC 27, Utah 31
Wyoming 24, Eastern Mich. 27
TCU 33, SMU 3
Saturday, September 24, 2016
Kent State 0, Alabama 48
Louisville 59, Marshall 28
Penn State 10, Michigan 49
Houston 64, Texas State 3
Stanford 22, UCLA 13
Wisconsin 30, Michigan State 6
Washington 35, Arizona 28
Arkansas 24, Texas A&M 45
Georgia 14, Mississippi 45
Florida State 55, South Florida 35
Florida 28, Tennessee 38
Oklahoma State 24, Baylor 35
LSU 13, Auburn 18
Nebraska 24, Northwestern 13
Colorado State 24, Minnesota 31
Charlotte 20, Temple 48
San Jose State 10, Iowa State 44
Nevada 14, Purdue 24
Iowa 14, Rutgers 7
Cent. Michigan 35, Virginia 49
East Carolina 17, Virginia Tech 54
Syracuse 31, Connecticut 24
Wagner 10, Boston College 42
Gardner-Webb 21, Ohio 37
Mississippi St. 47, Massachusetts 35
Wake Forest 33, Indiana 28
Western Illinois 28, Northern Ill. 23
BYU 32, West Virginia 35
Miami (Ohio) 20, Cincinnati 27
Boise State 38, Oregon State 24
UTSA 19, Old Dominion 33
Appalachian St. 45, Akron 38
Duke 38, Notre Dame 35
Pittsburgh 36, North Carolina 37
Delaware State 0, Missouri 79
Vanderbilt 31, Western Ky. 30
Tulsa 48, Fresno State 41
Colorado 41, Oregon 38
North Texas 42, Rice 35
Ball State 31, Florida Atlantic 27
Furman 21, Coastal Caro. 41
Nicholls State 40, South Alabama 41
Louisiana Tech 34, Middle Tenn. 38
Army West Point 20, Buffalo 23
UCF 53, FIU 14
New Mexico St. 6, Troy 52
Central Ark. 28, Arkansas State 23
Ga. Southern 31, Western Mich. 49
Missouri State 0, Kansas State 35
South Carolina 10, Kentucky 17
Bowling Green 3, Memphis 77
Southern Miss 34, UTEP 7
La.-Lafayette 39, Tulane 41
Idaho 33, UNLV 30
California 41, Arizona State 51
Air Force 27, Utah State 20
 
WEEK 5 
Thursday, September 29, 2016
Connecticut 14, Houston 42
Kansas 19, Texas Tech 55
Friday, September 30, 2016
Stanford 6, Washington 44
Toledo 53, BYU 55
Saturday, October 1, 2016
Kentucky 6, Alabama 34
Rutgers 0, Ohio State 58
Louisville 36, Clemson 42
Wisconsin 7, Michigan 14
Texas A&M 24, South Carolina 13
Tennessee 34, Georgia 31
North Carolina 37, Florida State 35
Baylor 45, Iowa State 42
Miami (Fla.) 35, Georgia Tech 21
Illinois 16, Nebraska 31
Memphis 28, Mississippi 48
Michigan State 21, Indiana 24
Utah 23, California 28
San Diego State 24, South Alabama 42
Alcorn State 10, Arkansas 52
Oklahoma 52, TCU 46
Texas 31, Oklahoma State 49
Florida 13, Vanderbilt 6
Utah State 10, Boise State 21
Nevada 17, Hawaii 38
Notre Dame 50, Syracuse 33
Northwestern 38, Iowa 31
UCF 47, East Carolina 29
Georgia State 3, Appalachian St. 17
SMU 20, Temple 45
Virginia 34, Duke 20
Buffalo 3, Boston College 35
Oregon State 6, Colorado 47
Ohio 17, Miami (Ohio) 7
Eastern Mich. 28, Bowling Green 25
Purdue 7, Maryland 50
Navy 14, Air Force 28
Tulane 31, Massachusetts 24
Northern Ill. 31, Ball State 24
Kansas State 16, West Virginia 17
La.-Monroe 7, Auburn 58
Wake Forest 16, NC State 33
Minnesota 26, Penn State 29
Akron 31, Kent State 27
San Jose State 41, New Mexico 48
Troy 34, Idaho 13
Old Dominion 52, Charlotte 17
